id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
10;DMI Data;requests;1629391819.012301;-7.811607122421265;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06188&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06188&parameterId=wind_max_per10min_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;13287163;200;True;
11;DMI Data;requests;1629391827.894165;-0.1415719985961914;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06183&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06183&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;430;200;True;
12;DMI Data;requests;1629391828.54005;-0.12932896614074707;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06184&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06184&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;430;200;True;
13;DMI Data;requests;1629391829.174089;-0.09948587417602539;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06186&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06186&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;430;200;True;
14;DMI Data;requests;1629391829.774682;-0.1307969093322754;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06187&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06187&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;430;200;True;
15;DMI Data;requests;1629391830.411084;-6.000217914581299;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06188&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06188&parameterId=temp_soil_max_past1h&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;13123343;200;True;
16;DMI Data;requests;1629391837.407456;-0.09349513053894043;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06183&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06183&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;1023;200;True;
17;DMI Data;requests;1629391838.0064158;-0.12945032119750977;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06183&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2017-01-29T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06183&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2017-01-29T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;421;200;True;
18;DMI Data;requests;1629391838.639721;-32.92174530029297;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06184&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06184&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;43631536;200;True;
19;DMI Data;requests;1629391874.088716;-0.13793110847473145;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06186&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06186&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;421;200;True;
20;DMI Data;requests;1629391874.822007;-0.11975407600402832;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06187&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06187&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;421;200;True;
21;DMI Data;requests;1629391875.532038;-30.005855083465576;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06188&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;;0;;False;HTTPSConnectionPool(host='dmigw.govcloud.dk', port=443): Read timed out. (read timeout=30)
22;DMI Data;requests;1629391906.0388422;-30.121474742889404;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06188&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;;0;;False;HTTPSConnectionPool(host='dmigw.govcloud.dk', port=443): Read timed out. (read timeout=30)
23;DMI Data;requests;1629391936.6625862;-111.68203592300415;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06188&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;https://dmigw.govcloud.dk/v2/metObs/collections/observation/items?limit=300000&stationId=06188&parameterId=cloud_cover&bbox=7,54,16,58&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=c4503ba1-28d4-45c5-850a-974e98bbb3e0;76304144;200;True;
24;DMI Data;requests;1629392053.671968;-0.3360331058502197;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;438;200;True;
25;DMI Data;requests;1629392054.5115678;-0.3849172592163086;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;438;200;True;
26;DMI Data;requests;1629392055.397801;-0.1431119441986084;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;438;200;True;
27;DMI Data;requests;1629392056.044677;-10.866353988647461;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19883477;200;True;
28;DMI Data;requests;1629392067.826426;-9.358910083770752;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=bright_sunshine&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19883066;200;True;
29;DMI Data;requests;1629392078.324415;-0.17870306968688965;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;437;200;True;
30;DMI Data;requests;1629392079.004626;-0.0492551326751709;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;437;200;True;
31;DMI Data;requests;1629392079.556767;-0.05547499656677246;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;437;200;True;
32;DMI Data;requests;1629392080.114036;-8.432638883590698;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19861529;200;True;
33;DMI Data;requests;1629392089.6375349;-8.659345388412476;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=mean_radiation&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19861232;200;True;
34;DMI Data;requests;1629392099.540267;-7.25636100769043;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19679872;200;True;
35;DMI Data;requests;1629392107.883324;-8.566119194030762;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19913191;200;True;
36;DMI Data;requests;1629392117.7727308;-0.16739416122436523;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;436;200;True;
37;DMI Data;requests;1629392118.5182521;-0.13490080833435059;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;436;200;True;
38;DMI Data;requests;1629392119.220738;-8.342466115951538;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=mean_pressure&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19913080;200;True;
39;DMI Data;requests;1629392128.943072;-6.927501916885376;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19422543;200;True;
40;DMI Data;requests;1629392136.976722;-0.05876803398132324;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;433;200;True;
41;DMI Data;requests;1629392137.6129699;-0.14370417594909668;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;433;200;True;
42;DMI Data;requests;1629392138.329232;-0.05721592903137207;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;433;200;True;
43;DMI Data;requests;1629392138.954305;-7.837561845779419;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=acc_precip&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19636426;200;True;
44;DMI Data;requests;1629392148.6222389;-0.09089112281799316;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;433;200;True;
45;DMI Data;requests;1629392149.215691;-0.09708595275878906;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06181&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;433;200;True;
46;DMI Data;requests;1629392149.828893;-0.14065814018249512;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06186&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;433;200;True;
47;DMI Data;requests;1629392150.473145;-0.0717930793762207;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06187&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;433;200;True;
48;DMI Data;requests;1629392151.049099;-7.055669069290161;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06188&parameterId=temp_grass&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19501979;200;True;
49;DMI Data;requests;1629392159.242075;-8.131678104400635;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=mean_relative_hum&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;https://dmigw.govcloud.dk/v2/climateData/collections/stationValue/items?timeResolution=hour&limit=300000&stationId=06184&parameterId=mean_relative_hum&datetime=2016-04-01T00:00:00Z/2021-08-01T00:00:00Z&api-key=ac27b332-bde2-4138-a53e-f0ca82cf3667;19550516;200;True;
